predicted file,real file,number of residues,rmsd
138_pred.pdb,138_real.pdb,12,1.58
139_pred.pdb,139_real.pdb,18,7.799
140_pred.pdb,140_real.pdb,14,2.967
141_pred.pdb,141_real.pdb,13,7.719
142_pred.pdb,142_real.pdb,12,1.622
143_pred.pdb,143_real.pdb,19,4.996
144_pred.pdb,144_real.pdb,8,0.617
145_pred.pdb,145_real.pdb,7,1.063
146_pred.pdb,146_real.pdb,13,6.402
147_pred.pdb,147_real.pdb,13,2.64
148_pred.pdb,148_real.pdb,13,1.91
149_pred.pdb,149_real.pdb,17,0.747
150_pred.pdb,150_real.pdb,13,4.484
151_pred.pdb,151_real.pdb,15,2.456
152_pred.pdb,152_real.pdb,9,0.287
153_pred.pdb,153_real.pdb,15,5.896
154_pred.pdb,154_real.pdb,12,1.941
155_pred.pdb,155_real.pdb,13,1.692
156_pred.pdb,156_real.pdb,10,1.851
157_pred.pdb,157_real.pdb,12,1.492
158_pred.pdb,158_real.pdb,13,2.635
159_pred.pdb,159_real.pdb,13,2.566
160_pred.pdb,160_real.pdb,14,1.878
161_pred.pdb,161_real.pdb,4,0.202
162_pred.pdb,162_real.pdb,5,1.5
163_pred.pdb,163_real.pdb,9,1.138
164_pred.pdb,164_real.pdb,8,1.609
165_pred.pdb,165_real.pdb,11,0.479
166_pred.pdb,166_real.pdb,19,5.256
167_pred.pdb,167_real.pdb,9,0.382
168_pred.pdb,168_real.pdb,11,3.702
169_pred.pdb,169_real.pdb,11,1.487
170_pred.pdb,170_real.pdb,12,5.42
171_pred.pdb,171_real.pdb,10,3.241
172_pred.pdb,172_real.pdb,5,0.146
173_pred.pdb,173_real.pdb,9,5.422
174_pred.pdb,174_real.pdb,10,0.886
175_pred.pdb,175_real.pdb,21,4.38
176_pred.pdb,176_real.pdb,6,1.078
177_pred.pdb,177_real.pdb,18,1.134
178_pred.pdb,178_real.pdb,13,0.953
179_pred.pdb,179_real.pdb,10,5.65
180_pred.pdb,180_real.pdb,12,0.511
181_pred.pdb,181_real.pdb,9,0.368
182_pred.pdb,182_real.pdb,9,5.068
183_pred.pdb,183_real.pdb,11,4.842
184_pred.pdb,184_real.pdb,5,0.841
185_pred.pdb,185_real.pdb,9,1.556
186_pred.pdb,186_real.pdb,10,0.7
187_pred.pdb,187_real.pdb,7,0.453
188_pred.pdb,188_real.pdb,4,0.22
189_pred.pdb,189_real.pdb,8,0.873
190_pred.pdb,190_real.pdb,24,9.56
191_pred.pdb,191_real.pdb,12,2.888
192_pred.pdb,192_real.pdb,7,3.593
193_pred.pdb,193_real.pdb,7,0.516
194_pred.pdb,194_real.pdb,24,3.319
195_pred.pdb,195_real.pdb,8,0.418
196_pred.pdb,196_real.pdb,9,2.406
197_pred.pdb,197_real.pdb,5,0.162
198_pred.pdb,198_real.pdb,22,8.245
199_pred.pdb,199_real.pdb,8,0.854
200_pred.pdb,200_real.pdb,9,3.11
201_pred.pdb,201_real.pdb,5,1.911
202_pred.pdb,202_real.pdb,7,1.413
203_pred.pdb,203_real.pdb,10,3.74
204_pred.pdb,204_real.pdb,10,3.009
205_pred.pdb,205_real.pdb,11,3.671
206_pred.pdb,206_real.pdb,10,3.041
207_pred.pdb,207_real.pdb,5,0.493
208_pred.pdb,208_real.pdb,18,2.994
209_pred.pdb,209_real.pdb,19,1.307
210_pred.pdb,210_real.pdb,13,0.731
211_pred.pdb,211_real.pdb,11,0.844
212_pred.pdb,212_real.pdb,8,0.836
213_pred.pdb,213_real.pdb,11,3.521
214_pred.pdb,214_real.pdb,11,2.018
215_pred.pdb,215_real.pdb,4,0.095
216_pred.pdb,216_real.pdb,14,0.6
217_pred.pdb,217_real.pdb,10,2.171
218_pred.pdb,218_real.pdb,7,0.572
219_pred.pdb,219_real.pdb,13,4.579
220_pred.pdb,220_real.pdb,7,3.879
221_pred.pdb,221_real.pdb,4,1.076
222_pred.pdb,222_real.pdb,14,5.803
223_pred.pdb,223_real.pdb,20,2.74
224_pred.pdb,224_real.pdb,13,2.337
225_pred.pdb,225_real.pdb,10,1.832
226_pred.pdb,226_real.pdb,9,1.708
227_pred.pdb,227_real.pdb,12,0.444
228_pred.pdb,228_real.pdb,9,3.179
229_pred.pdb,229_real.pdb,10,0.884
230_pred.pdb,230_real.pdb,5,0.167
231_pred.pdb,231_real.pdb,12,2.698
232_pred.pdb,232_real.pdb,21,6.373
233_pred.pdb,233_real.pdb,6,2.851
234_pred.pdb,234_real.pdb,19,1.479
235_pred.pdb,235_real.pdb,7,4.428
236_pred.pdb,236_real.pdb,7,1.357
237_pred.pdb,237_real.pdb,8,0.709
238_pred.pdb,238_real.pdb,13,2.71
239_pred.pdb,239_real.pdb,5,1.356
240_pred.pdb,240_real.pdb,8,2.246
241_pred.pdb,241_real.pdb,7,0.741
242_pred.pdb,242_real.pdb,19,1.669
243_pred.pdb,243_real.pdb,10,5.824
244_pred.pdb,244_real.pdb,8,1.543
