predicted file,real file,number of residues,rmsd
129_pred.pdb,129_real.pdb,8,0.657
130_pred.pdb,130_real.pdb,9,0.199
131_pred.pdb,131_real.pdb,10,0.558
132_pred.pdb,132_real.pdb,18,2.309
133_pred.pdb,133_real.pdb,9,0.853
134_pred.pdb,134_real.pdb,17,2.144
135_pred.pdb,135_real.pdb,11,2.861
136_pred.pdb,136_real.pdb,13,3.957
137_pred.pdb,137_real.pdb,11,1.206
138_pred.pdb,138_real.pdb,9,0.192
139_pred.pdb,139_real.pdb,9,0.288
140_pred.pdb,140_real.pdb,13,0.595
141_pred.pdb,141_real.pdb,11,0.327
142_pred.pdb,142_real.pdb,7,0.413
143_pred.pdb,143_real.pdb,15,1.838
144_pred.pdb,144_real.pdb,10,2.519
145_pred.pdb,145_real.pdb,8,0.367
146_pred.pdb,146_real.pdb,15,1.23
147_pred.pdb,147_real.pdb,7,0.633
148_pred.pdb,148_real.pdb,10,1.273
149_pred.pdb,149_real.pdb,7,0.143
150_pred.pdb,150_real.pdb,10,0.279
151_pred.pdb,151_real.pdb,9,1.118
152_pred.pdb,152_real.pdb,19,3.491
153_pred.pdb,153_real.pdb,13,0.178
154_pred.pdb,154_real.pdb,14,1.043
155_pred.pdb,155_real.pdb,10,0.244
156_pred.pdb,156_real.pdb,13,1.106
157_pred.pdb,157_real.pdb,15,5.175
158_pred.pdb,158_real.pdb,5,0.055
159_pred.pdb,159_real.pdb,14,1.585
160_pred.pdb,160_real.pdb,14,1.012
161_pred.pdb,161_real.pdb,7,1.366
162_pred.pdb,162_real.pdb,12,0.523
163_pred.pdb,163_real.pdb,22,1.201
164_pred.pdb,164_real.pdb,12,0.486
165_pred.pdb,165_real.pdb,10,0.671
166_pred.pdb,166_real.pdb,21,6.998
167_pred.pdb,167_real.pdb,12,1.361
168_pred.pdb,168_real.pdb,8,0.252
169_pred.pdb,169_real.pdb,12,3.001
170_pred.pdb,170_real.pdb,10,0.344
171_pred.pdb,171_real.pdb,8,0.187
172_pred.pdb,172_real.pdb,16,1.563
173_pred.pdb,173_real.pdb,10,1.166
174_pred.pdb,174_real.pdb,12,1.283
175_pred.pdb,175_real.pdb,10,1.495
176_pred.pdb,176_real.pdb,17,0.482
177_pred.pdb,177_real.pdb,13,5.411
178_pred.pdb,178_real.pdb,11,0.347
179_pred.pdb,179_real.pdb,12,3.859
180_pred.pdb,180_real.pdb,8,0.771
181_pred.pdb,181_real.pdb,11,0.392
182_pred.pdb,182_real.pdb,14,5.269
183_pred.pdb,183_real.pdb,13,0.444
184_pred.pdb,184_real.pdb,14,1.175
185_pred.pdb,185_real.pdb,8,0.25
186_pred.pdb,186_real.pdb,20,0.8
187_pred.pdb,187_real.pdb,23,6.752
188_pred.pdb,188_real.pdb,11,0.25
189_pred.pdb,189_real.pdb,7,0.375
190_pred.pdb,190_real.pdb,12,0.44
191_pred.pdb,191_real.pdb,7,0.192
192_pred.pdb,192_real.pdb,12,0.34
193_pred.pdb,193_real.pdb,12,1.303
194_pred.pdb,194_real.pdb,5,0.229
195_pred.pdb,195_real.pdb,11,2.06
196_pred.pdb,196_real.pdb,12,2.672
197_pred.pdb,197_real.pdb,8,0.21
198_pred.pdb,198_real.pdb,20,4.326
199_pred.pdb,199_real.pdb,8,2.924
200_pred.pdb,200_real.pdb,16,1.17
201_pred.pdb,201_real.pdb,11,2.105
202_pred.pdb,202_real.pdb,10,5.09
203_pred.pdb,203_real.pdb,10,0.828
204_pred.pdb,204_real.pdb,15,5.027
205_pred.pdb,205_real.pdb,11,1.342
206_pred.pdb,206_real.pdb,11,1.081
207_pred.pdb,207_real.pdb,16,1.274
208_pred.pdb,208_real.pdb,10,3.803
209_pred.pdb,209_real.pdb,11,0.801
210_pred.pdb,210_real.pdb,12,3.023
211_pred.pdb,211_real.pdb,8,0.074
212_pred.pdb,212_real.pdb,10,1.063
213_pred.pdb,213_real.pdb,16,1.357
214_pred.pdb,214_real.pdb,6,2.129
215_pred.pdb,215_real.pdb,12,0.554
216_pred.pdb,216_real.pdb,15,2.339
217_pred.pdb,217_real.pdb,7,3.567
218_pred.pdb,218_real.pdb,11,0.912
219_pred.pdb,219_real.pdb,14,0.575
predicted file,real file,number of residues,rmsd
000_pred.pdb,000_real.pdb,9,3.996
001_pred.pdb,001_real.pdb,11,2.176
002_pred.pdb,002_real.pdb,13,1.137
003_pred.pdb,003_real.pdb,7,0.614
004_pred.pdb,004_real.pdb,8,2.215
005_pred.pdb,005_real.pdb,9,1.986
006_pred.pdb,006_real.pdb,13,1.075
007_pred.pdb,007_real.pdb,10,1.326
008_pred.pdb,008_real.pdb,5,0.726
009_pred.pdb,009_real.pdb,14,1.227
010_pred.pdb,010_real.pdb,8,0.673
011_pred.pdb,011_real.pdb,10,2.237
012_pred.pdb,012_real.pdb,12,0.913
013_pred.pdb,013_real.pdb,10,0.401
014_pred.pdb,014_real.pdb,8,0.759
015_pred.pdb,015_real.pdb,12,0.867
016_pred.pdb,016_real.pdb,13,0.529
017_pred.pdb,017_real.pdb,14,5.202
018_pred.pdb,018_real.pdb,22,1.827
019_pred.pdb,019_real.pdb,8,0.393
020_pred.pdb,020_real.pdb,8,0.441
021_pred.pdb,021_real.pdb,9,0.124
022_pred.pdb,022_real.pdb,8,2.328
023_pred.pdb,023_real.pdb,6,2.633
024_pred.pdb,024_real.pdb,12,0.689
025_pred.pdb,025_real.pdb,8,0.399
026_pred.pdb,026_real.pdb,10,1.23
027_pred.pdb,027_real.pdb,13,0.23
028_pred.pdb,028_real.pdb,12,0.895
029_pred.pdb,029_real.pdb,10,0.772
030_pred.pdb,030_real.pdb,11,2.626
031_pred.pdb,031_real.pdb,7,0.272
032_pred.pdb,032_real.pdb,4,0.337
033_pred.pdb,033_real.pdb,13,1.046
034_pred.pdb,034_real.pdb,5,0.479
035_pred.pdb,035_real.pdb,12,0.822
036_pred.pdb,036_real.pdb,10,1.543
037_pred.pdb,037_real.pdb,13,5.338
038_pred.pdb,038_real.pdb,9,4.435
039_pred.pdb,039_real.pdb,12,0.531
040_pred.pdb,040_real.pdb,16,3.105
041_pred.pdb,041_real.pdb,6,0.928
042_pred.pdb,042_real.pdb,11,0.781
043_pred.pdb,043_real.pdb,13,1.298
044_pred.pdb,044_real.pdb,20,1.547
045_pred.pdb,045_real.pdb,20,0.836
046_pred.pdb,046_real.pdb,6,2.319
047_pred.pdb,047_real.pdb,10,0.43
048_pred.pdb,048_real.pdb,10,1.647
049_pred.pdb,049_real.pdb,10,1.802
050_pred.pdb,050_real.pdb,10,0.681
051_pred.pdb,051_real.pdb,6,2.169
052_pred.pdb,052_real.pdb,11,2.181
053_pred.pdb,053_real.pdb,12,1.072
054_pred.pdb,054_real.pdb,19,1.046
055_pred.pdb,055_real.pdb,12,0.868
056_pred.pdb,056_real.pdb,10,5.288
057_pred.pdb,057_real.pdb,14,6.868
058_pred.pdb,058_real.pdb,5,0.042
059_pred.pdb,059_real.pdb,7,0.52
060_pred.pdb,060_real.pdb,14,1.708
061_pred.pdb,061_real.pdb,18,5.928
062_pred.pdb,062_real.pdb,7,0.397
063_pred.pdb,063_real.pdb,10,1.038
064_pred.pdb,064_real.pdb,12,0.472
065_pred.pdb,065_real.pdb,11,1.026
066_pred.pdb,066_real.pdb,10,1.004
067_pred.pdb,067_real.pdb,9,1.403
068_pred.pdb,068_real.pdb,14,1.812
069_pred.pdb,069_real.pdb,13,3.298
070_pred.pdb,070_real.pdb,8,2.602
071_pred.pdb,071_real.pdb,20,1.553
072_pred.pdb,072_real.pdb,7,0.919
073_pred.pdb,073_real.pdb,11,6.068
074_pred.pdb,074_real.pdb,3,0.129
075_pred.pdb,075_real.pdb,27,2.237
076_pred.pdb,076_real.pdb,13,1.09
077_pred.pdb,077_real.pdb,8,1.355
078_pred.pdb,078_real.pdb,11,1.138
079_pred.pdb,079_real.pdb,12,4.379
080_pred.pdb,080_real.pdb,10,2.032
081_pred.pdb,081_real.pdb,9,0.76
082_pred.pdb,082_real.pdb,13,0.699
083_pred.pdb,083_real.pdb,18,2.264
084_pred.pdb,084_real.pdb,11,3.583
085_pred.pdb,085_real.pdb,3,0.093
086_pred.pdb,086_real.pdb,5,0.281
087_pred.pdb,087_real.pdb,13,0.759
088_pred.pdb,088_real.pdb,19,1.675
089_pred.pdb,089_real.pdb,7,1.024
090_pred.pdb,090_real.pdb,21,7.995
091_pred.pdb,091_real.pdb,15,4.488
092_pred.pdb,092_real.pdb,8,0.823
093_pred.pdb,093_real.pdb,8,1.679
094_pred.pdb,094_real.pdb,12,4.347
095_pred.pdb,095_real.pdb,7,0.929
096_pred.pdb,096_real.pdb,11,1.559
097_pred.pdb,097_real.pdb,18,2.145
098_pred.pdb,098_real.pdb,9,0.851
099_pred.pdb,099_real.pdb,24,1.563
100_pred.pdb,100_real.pdb,8,1.002
101_pred.pdb,101_real.pdb,10,0.872
102_pred.pdb,102_real.pdb,8,1.571
103_pred.pdb,103_real.pdb,13,1.139
104_pred.pdb,104_real.pdb,12,0.65
105_pred.pdb,105_real.pdb,16,1.206
106_pred.pdb,106_real.pdb,4,0.101
107_pred.pdb,107_real.pdb,8,0.443
108_pred.pdb,108_real.pdb,22,0.754
109_pred.pdb,109_real.pdb,9,0.863
110_pred.pdb,110_real.pdb,19,0.692
111_pred.pdb,111_real.pdb,8,0.438
112_pred.pdb,112_real.pdb,4,0.3
113_pred.pdb,113_real.pdb,14,1.323
114_pred.pdb,114_real.pdb,11,1.116
115_pred.pdb,115_real.pdb,8,0.393
116_pred.pdb,116_real.pdb,8,0.336
117_pred.pdb,117_real.pdb,9,0.814
118_pred.pdb,118_real.pdb,15,2.858
119_pred.pdb,119_real.pdb,12,0.714
120_pred.pdb,120_real.pdb,8,0.85
121_pred.pdb,121_real.pdb,12,0.464
122_pred.pdb,122_real.pdb,21,2.948
123_pred.pdb,123_real.pdb,13,0.967
124_pred.pdb,124_real.pdb,12,0.821
125_pred.pdb,125_real.pdb,10,1.218
126_pred.pdb,126_real.pdb,11,7.198
127_pred.pdb,127_real.pdb,5,0.872
128_pred.pdb,128_real.pdb,12,1.17
129_pred.pdb,129_real.pdb,24,3.134
130_pred.pdb,130_real.pdb,7,0.772
131_pred.pdb,131_real.pdb,12,1.067
132_pred.pdb,132_real.pdb,19,6.954
133_pred.pdb,133_real.pdb,11,2.074
134_pred.pdb,134_real.pdb,10,0.589
135_pred.pdb,135_real.pdb,11,2.32
136_pred.pdb,136_real.pdb,12,1.244
137_pred.pdb,137_real.pdb,10,1.409
138_pred.pdb,138_real.pdb,12,3.882
139_pred.pdb,139_real.pdb,17,0.706
140_pred.pdb,140_real.pdb,12,2.757
141_pred.pdb,141_real.pdb,11,1.251
142_pred.pdb,142_real.pdb,13,1.339
143_pred.pdb,143_real.pdb,26,1.949
144_pred.pdb,144_real.pdb,13,0.855
145_pred.pdb,145_real.pdb,12,1.486
146_pred.pdb,146_real.pdb,7,0.886
147_pred.pdb,147_real.pdb,10,2.665
148_pred.pdb,148_real.pdb,16,8.909
149_pred.pdb,149_real.pdb,8,2.975
150_pred.pdb,150_real.pdb,6,0.699
151_pred.pdb,151_real.pdb,13,1.136
152_pred.pdb,152_real.pdb,18,3.865
153_pred.pdb,153_real.pdb,10,0.423
154_pred.pdb,154_real.pdb,10,1.194
155_pred.pdb,155_real.pdb,13,1.177
156_pred.pdb,156_real.pdb,13,3.325
157_pred.pdb,157_real.pdb,11,1.229
158_pred.pdb,158_real.pdb,9,0.123
159_pred.pdb,159_real.pdb,15,5.803
160_pred.pdb,160_real.pdb,9,1.474
161_pred.pdb,161_real.pdb,10,1.353
162_pred.pdb,162_real.pdb,20,6.325
163_pred.pdb,163_real.pdb,19,5.748
164_pred.pdb,164_real.pdb,12,0.903
165_pred.pdb,165_real.pdb,9,0.437
166_pred.pdb,166_real.pdb,14,1.829
167_pred.pdb,167_real.pdb,7,1.442
168_pred.pdb,168_real.pdb,13,0.518
169_pred.pdb,169_real.pdb,22,6.402
170_pred.pdb,170_real.pdb,11,4.002
171_pred.pdb,171_real.pdb,10,1.764
172_pred.pdb,172_real.pdb,10,5.131
173_pred.pdb,173_real.pdb,8,3.131
174_pred.pdb,174_real.pdb,14,1.127
175_pred.pdb,175_real.pdb,11,1.434
176_pred.pdb,176_real.pdb,14,3.259
177_pred.pdb,177_real.pdb,7,0.951
178_pred.pdb,178_real.pdb,16,5.339
179_pred.pdb,179_real.pdb,20,1.459
180_pred.pdb,180_real.pdb,9,1.356
181_pred.pdb,181_real.pdb,24,0.265
182_pred.pdb,182_real.pdb,13,4.209
183_pred.pdb,183_real.pdb,6,0.195
184_pred.pdb,184_real.pdb,11,1.097
185_pred.pdb,185_real.pdb,12,1.119
186_pred.pdb,186_real.pdb,11,0.804
187_pred.pdb,187_real.pdb,4,0.107
188_pred.pdb,188_real.pdb,5,2.121
189_pred.pdb,189_real.pdb,9,1.197
190_pred.pdb,190_real.pdb,9,0.183
191_pred.pdb,191_real.pdb,10,0.832
192_pred.pdb,192_real.pdb,10,3.341
193_pred.pdb,193_real.pdb,17,1.582
194_pred.pdb,194_real.pdb,9,0.124
195_pred.pdb,195_real.pdb,10,1.12
196_pred.pdb,196_real.pdb,8,0.957
197_pred.pdb,197_real.pdb,7,1.125
198_pred.pdb,198_real.pdb,5,0.181
199_pred.pdb,199_real.pdb,9,0.179
200_pred.pdb,200_real.pdb,7,0.424
201_pred.pdb,201_real.pdb,13,4.461
202_pred.pdb,202_real.pdb,14,1.196
203_pred.pdb,203_real.pdb,8,3.187
204_pred.pdb,204_real.pdb,12,0.596
205_pred.pdb,205_real.pdb,6,1.436
206_pred.pdb,206_real.pdb,12,3.09
207_pred.pdb,207_real.pdb,9,2.438
208_pred.pdb,208_real.pdb,10,0.534
209_pred.pdb,209_real.pdb,11,2.966
210_pred.pdb,210_real.pdb,10,2.58
211_pred.pdb,211_real.pdb,13,0.223
212_pred.pdb,212_real.pdb,4,0.454
213_pred.pdb,213_real.pdb,22,0.407
214_pred.pdb,214_real.pdb,10,1.72
215_pred.pdb,215_real.pdb,7,0.307
216_pred.pdb,216_real.pdb,14,0.375
217_pred.pdb,217_real.pdb,14,4.762
218_pred.pdb,218_real.pdb,22,0.413
219_pred.pdb,219_real.pdb,8,0.972
220_pred.pdb,220_real.pdb,10,0.744
221_pred.pdb,221_real.pdb,10,3.891
222_pred.pdb,222_real.pdb,10,1.214
223_pred.pdb,223_real.pdb,10,0.842
224_pred.pdb,224_real.pdb,9,0.297
225_pred.pdb,225_real.pdb,11,1.454
226_pred.pdb,226_real.pdb,12,2.036
227_pred.pdb,227_real.pdb,15,1.202
228_pred.pdb,228_real.pdb,13,6.643
229_pred.pdb,229_real.pdb,8,0.944
230_pred.pdb,230_real.pdb,15,2.374
231_pred.pdb,231_real.pdb,19,5.497
232_pred.pdb,232_real.pdb,18,1.797
233_pred.pdb,233_real.pdb,12,1.063
234_pred.pdb,234_real.pdb,10,3.679
235_pred.pdb,235_real.pdb,16,7.348
236_pred.pdb,236_real.pdb,8,0.893
237_pred.pdb,237_real.pdb,9,0.978
238_pred.pdb,238_real.pdb,9,3.881
239_pred.pdb,239_real.pdb,11,3.656
240_pred.pdb,240_real.pdb,13,3.962
241_pred.pdb,241_real.pdb,12,5.521
242_pred.pdb,242_real.pdb,11,0.643
243_pred.pdb,243_real.pdb,20,1.455
244_pred.pdb,244_real.pdb,13,1.278
245_pred.pdb,245_real.pdb,15,1.728
246_pred.pdb,246_real.pdb,12,0.637
247_pred.pdb,247_real.pdb,7,0.578
248_pred.pdb,248_real.pdb,17,6.498
249_pred.pdb,249_real.pdb,12,1.384
250_pred.pdb,250_real.pdb,10,1.354
251_pred.pdb,251_real.pdb,7,0.263
252_pred.pdb,252_real.pdb,5,1.236
253_pred.pdb,253_real.pdb,6,0.434
254_pred.pdb,254_real.pdb,19,0.486
255_pred.pdb,255_real.pdb,15,1.962
256_pred.pdb,256_real.pdb,8,0.345
257_pred.pdb,257_real.pdb,9,0.369
258_pred.pdb,258_real.pdb,14,1.195
259_pred.pdb,259_real.pdb,13,2.693
260_pred.pdb,260_real.pdb,14,0.951
261_pred.pdb,261_real.pdb,10,2.64
262_pred.pdb,262_real.pdb,7,0.418
263_pred.pdb,263_real.pdb,9,0.822
264_pred.pdb,264_real.pdb,18,2.212
265_pred.pdb,265_real.pdb,11,1.125
266_pred.pdb,266_real.pdb,13,7.061
267_pred.pdb,267_real.pdb,9,3.341
268_pred.pdb,268_real.pdb,19,0.515
269_pred.pdb,269_real.pdb,8,0.776
270_pred.pdb,270_real.pdb,13,2.257
271_pred.pdb,271_real.pdb,18,2.352
272_pred.pdb,272_real.pdb,10,2.175
273_pred.pdb,273_real.pdb,15,3.201
274_pred.pdb,274_real.pdb,5,0.476
275_pred.pdb,275_real.pdb,13,2.623
276_pred.pdb,276_real.pdb,14,3.847
277_pred.pdb,277_real.pdb,12,1.394
278_pred.pdb,278_real.pdb,11,0.579
279_pred.pdb,279_real.pdb,9,1.11
280_pred.pdb,280_real.pdb,16,3.103
281_pred.pdb,281_real.pdb,11,3.306
282_pred.pdb,282_real.pdb,8,1.449
283_pred.pdb,283_real.pdb,8,1.134
284_pred.pdb,284_real.pdb,24,0.735
285_pred.pdb,285_real.pdb,9,2.42
286_pred.pdb,286_real.pdb,13,6.501
predicted file,real file,number of residues,rmsd
000_pred.pdb,000_real.pdb,10,1.557
001_pred.pdb,001_real.pdb,14,6.078
002_pred.pdb,002_real.pdb,11,1.533
003_pred.pdb,003_real.pdb,8,3.333
004_pred.pdb,004_real.pdb,4,0.887
005_pred.pdb,005_real.pdb,10,3.78
006_pred.pdb,006_real.pdb,9,1.072
007_pred.pdb,007_real.pdb,9,0.173
008_pred.pdb,008_real.pdb,8,0.543
009_pred.pdb,009_real.pdb,9,1.039
010_pred.pdb,010_real.pdb,11,0.726
011_pred.pdb,011_real.pdb,11,4.722
012_pred.pdb,012_real.pdb,12,0.479
013_pred.pdb,013_real.pdb,9,1.048
014_pred.pdb,014_real.pdb,6,0.141
015_pred.pdb,015_real.pdb,20,1.05
016_pred.pdb,016_real.pdb,14,2.059
017_pred.pdb,017_real.pdb,8,0.384
018_pred.pdb,018_real.pdb,11,0.547
019_pred.pdb,019_real.pdb,12,4.016
020_pred.pdb,020_real.pdb,9,0.097
021_pred.pdb,021_real.pdb,9,0.178
022_pred.pdb,022_real.pdb,10,0.749
023_pred.pdb,023_real.pdb,14,2.163
024_pred.pdb,024_real.pdb,11,1.842
025_pred.pdb,025_real.pdb,15,5.008
026_pred.pdb,026_real.pdb,9,3.291
027_pred.pdb,027_real.pdb,10,4.124
028_pred.pdb,028_real.pdb,24,0.196
029_pred.pdb,029_real.pdb,20,1.221
030_pred.pdb,030_real.pdb,17,0.932
031_pred.pdb,031_real.pdb,8,3.61
032_pred.pdb,032_real.pdb,4,0.604
033_pred.pdb,033_real.pdb,19,2.055
034_pred.pdb,034_real.pdb,14,2.074
035_pred.pdb,035_real.pdb,10,0.617
036_pred.pdb,036_real.pdb,9,0.229
037_pred.pdb,037_real.pdb,23,0.819
038_pred.pdb,038_real.pdb,12,0.777
039_pred.pdb,039_real.pdb,11,3.619
040_pred.pdb,040_real.pdb,6,2.94
041_pred.pdb,041_real.pdb,11,1.627
042_pred.pdb,042_real.pdb,15,1.084
043_pred.pdb,043_real.pdb,17,0.789
044_pred.pdb,044_real.pdb,20,0.387
045_pred.pdb,045_real.pdb,11,2.067
046_pred.pdb,046_real.pdb,19,4.669
047_pred.pdb,047_real.pdb,9,0.295
048_pred.pdb,048_real.pdb,10,0.765
049_pred.pdb,049_real.pdb,9,1.114
050_pred.pdb,050_real.pdb,22,5.731
051_pred.pdb,051_real.pdb,22,0.959
052_pred.pdb,052_real.pdb,19,0.664
053_pred.pdb,053_real.pdb,11,0.256
054_pred.pdb,054_real.pdb,10,4.627
055_pred.pdb,055_real.pdb,8,0.582
056_pred.pdb,056_real.pdb,6,0.87
057_pred.pdb,057_real.pdb,11,4.153
058_pred.pdb,058_real.pdb,9,0.108
059_pred.pdb,059_real.pdb,19,2.288
060_pred.pdb,060_real.pdb,10,2.907
061_pred.pdb,061_real.pdb,11,0.684
062_pred.pdb,062_real.pdb,9,1.191
063_pred.pdb,063_real.pdb,27,0.474
064_pred.pdb,064_real.pdb,24,1.814
065_pred.pdb,065_real.pdb,10,3.127
066_pred.pdb,066_real.pdb,8,2.881
067_pred.pdb,067_real.pdb,11,0.759
068_pred.pdb,068_real.pdb,14,1.538
069_pred.pdb,069_real.pdb,23,6.345
070_pred.pdb,070_real.pdb,16,4.941
071_pred.pdb,071_real.pdb,7,2.062
072_pred.pdb,072_real.pdb,19,1.024
073_pred.pdb,073_real.pdb,12,4.623
074_pred.pdb,074_real.pdb,8,0.35
075_pred.pdb,075_real.pdb,12,5.846
076_pred.pdb,076_real.pdb,11,3.006
077_pred.pdb,077_real.pdb,10,1.884
078_pred.pdb,078_real.pdb,8,0.369
079_pred.pdb,079_real.pdb,9,1.219
080_pred.pdb,080_real.pdb,4,0.946
081_pred.pdb,081_real.pdb,7,1.868
082_pred.pdb,082_real.pdb,12,0.434
083_pred.pdb,083_real.pdb,10,5.549
084_pred.pdb,084_real.pdb,10,1.639
085_pred.pdb,085_real.pdb,12,0.298
086_pred.pdb,086_real.pdb,11,2.86
087_pred.pdb,087_real.pdb,9,3.643
088_pred.pdb,088_real.pdb,13,1.635
089_pred.pdb,089_real.pdb,9,0.836
090_pred.pdb,090_real.pdb,4,0.316
091_pred.pdb,091_real.pdb,16,0.591
092_pred.pdb,092_real.pdb,10,3.644
093_pred.pdb,093_real.pdb,10,1.058
094_pred.pdb,094_real.pdb,11,0.769
095_pred.pdb,095_real.pdb,12,0.404
096_pred.pdb,096_real.pdb,15,6.877
097_pred.pdb,097_real.pdb,12,3.432
098_pred.pdb,098_real.pdb,19,0.772
099_pred.pdb,099_real.pdb,24,0.225
100_pred.pdb,100_real.pdb,7,1.714
101_pred.pdb,101_real.pdb,22,0.962
102_pred.pdb,102_real.pdb,24,7.772
103_pred.pdb,103_real.pdb,10,0.66
104_pred.pdb,104_real.pdb,9,0.577
105_pred.pdb,105_real.pdb,9,1.373
106_pred.pdb,106_real.pdb,9,1.072
107_pred.pdb,107_real.pdb,10,1.341
108_pred.pdb,108_real.pdb,5,0.445
109_pred.pdb,109_real.pdb,11,4.493
110_pred.pdb,110_real.pdb,12,0.414
111_pred.pdb,111_real.pdb,10,0.856
112_pred.pdb,112_real.pdb,11,3.426
113_pred.pdb,113_real.pdb,17,1.664
114_pred.pdb,114_real.pdb,10,1.023
115_pred.pdb,115_real.pdb,13,0.923
116_pred.pdb,116_real.pdb,11,4.63
117_pred.pdb,117_real.pdb,8,0.827
118_pred.pdb,118_real.pdb,10,1.711
119_pred.pdb,119_real.pdb,11,2.808
120_pred.pdb,120_real.pdb,5,0.179
121_pred.pdb,121_real.pdb,7,0.765
122_pred.pdb,122_real.pdb,8,0.236
123_pred.pdb,123_real.pdb,8,0.664
124_pred.pdb,124_real.pdb,16,5.859
125_pred.pdb,125_real.pdb,13,5.343
126_pred.pdb,126_real.pdb,11,0.661
127_pred.pdb,127_real.pdb,8,5.554
128_pred.pdb,128_real.pdb,8,0.273
129_pred.pdb,129_real.pdb,10,0.433
130_pred.pdb,130_real.pdb,12,1.256
131_pred.pdb,131_real.pdb,12,6.511
132_pred.pdb,132_real.pdb,8,0.497
133_pred.pdb,133_real.pdb,13,5.728
134_pred.pdb,134_real.pdb,9,0.629
135_pred.pdb,135_real.pdb,4,0.938
136_pred.pdb,136_real.pdb,11,3.081
137_pred.pdb,137_real.pdb,10,3.428
138_pred.pdb,138_real.pdb,13,2.264
139_pred.pdb,139_real.pdb,10,1.125
140_pred.pdb,140_real.pdb,13,1.762
141_pred.pdb,141_real.pdb,15,1.557
142_pred.pdb,142_real.pdb,9,0.294
143_pred.pdb,143_real.pdb,12,7.384
144_pred.pdb,144_real.pdb,14,2.379
145_pred.pdb,145_real.pdb,8,3.608
146_pred.pdb,146_real.pdb,11,0.533
147_pred.pdb,147_real.pdb,13,0.486
148_pred.pdb,148_real.pdb,9,0.835
149_pred.pdb,149_real.pdb,10,2.418
150_pred.pdb,150_real.pdb,14,0.59
151_pred.pdb,151_real.pdb,8,0.972
152_pred.pdb,152_real.pdb,13,1.21
153_pred.pdb,153_real.pdb,9,0.348
154_pred.pdb,154_real.pdb,9,0.818
155_pred.pdb,155_real.pdb,13,0.601
156_pred.pdb,156_real.pdb,9,0.792
157_pred.pdb,157_real.pdb,13,5.969
158_pred.pdb,158_real.pdb,13,0.592
159_pred.pdb,159_real.pdb,13,0.793
160_pred.pdb,160_real.pdb,7,0.542
161_pred.pdb,161_real.pdb,20,9.221
162_pred.pdb,162_real.pdb,10,3.607
163_pred.pdb,163_real.pdb,14,6.669
164_pred.pdb,164_real.pdb,15,0.404
165_pred.pdb,165_real.pdb,4,0.311
166_pred.pdb,166_real.pdb,9,0.71
167_pred.pdb,167_real.pdb,16,0.569
168_pred.pdb,168_real.pdb,12,5.834
169_pred.pdb,169_real.pdb,19,0.758
170_pred.pdb,170_real.pdb,12,3.308
171_pred.pdb,171_real.pdb,9,2.453
172_pred.pdb,172_real.pdb,10,1.789
173_pred.pdb,173_real.pdb,19,0.863
174_pred.pdb,174_real.pdb,10,0.573
175_pred.pdb,175_real.pdb,13,1.366
176_pred.pdb,176_real.pdb,9,3.789
177_pred.pdb,177_real.pdb,5,1.916
178_pred.pdb,178_real.pdb,5,0.141
179_pred.pdb,179_real.pdb,7,2.615
180_pred.pdb,180_real.pdb,8,0.475
181_pred.pdb,181_real.pdb,10,0.686
182_pred.pdb,182_real.pdb,14,0.494
183_pred.pdb,183_real.pdb,20,4.724
184_pred.pdb,184_real.pdb,17,1.637
185_pred.pdb,185_real.pdb,3,0.14
186_pred.pdb,186_real.pdb,9,3.586
187_pred.pdb,187_real.pdb,20,3.424
188_pred.pdb,188_real.pdb,11,0.824
189_pred.pdb,189_real.pdb,15,1.028
190_pred.pdb,190_real.pdb,16,3.369
191_pred.pdb,191_real.pdb,9,2.944
192_pred.pdb,192_real.pdb,15,1.943
193_pred.pdb,193_real.pdb,16,6.032
194_pred.pdb,194_real.pdb,10,0.578
195_pred.pdb,195_real.pdb,5,0.408
196_pred.pdb,196_real.pdb,15,0.664
197_pred.pdb,197_real.pdb,13,5.049
198_pred.pdb,198_real.pdb,12,0.261
199_pred.pdb,199_real.pdb,10,3.816
200_pred.pdb,200_real.pdb,9,4.293
201_pred.pdb,201_real.pdb,7,0.135
202_pred.pdb,202_real.pdb,13,2.031
203_pred.pdb,203_real.pdb,11,3.666
204_pred.pdb,204_real.pdb,14,1.175
205_pred.pdb,205_real.pdb,8,0.554
206_pred.pdb,206_real.pdb,10,1.383
207_pred.pdb,207_real.pdb,12,3.896
208_pred.pdb,208_real.pdb,21,4.715
209_pred.pdb,209_real.pdb,10,1.88
210_pred.pdb,210_real.pdb,10,1.316
211_pred.pdb,211_real.pdb,12,0.433
212_pred.pdb,212_real.pdb,10,0.357
213_pred.pdb,213_real.pdb,12,0.43
214_pred.pdb,214_real.pdb,11,0.403
215_pred.pdb,215_real.pdb,15,2.231
216_pred.pdb,216_real.pdb,20,1.193
217_pred.pdb,217_real.pdb,7,1.486
218_pred.pdb,218_real.pdb,10,1.406
219_pred.pdb,219_real.pdb,11,2.25
220_pred.pdb,220_real.pdb,11,2.077
221_pred.pdb,221_real.pdb,8,0.37
222_pred.pdb,222_real.pdb,20,0.577
223_pred.pdb,223_real.pdb,12,0.818
224_pred.pdb,224_real.pdb,15,0.774
225_pred.pdb,225_real.pdb,7,0.328
226_pred.pdb,226_real.pdb,13,0.687
227_pred.pdb,227_real.pdb,17,1.108
